"suffix","n","GEOID"
"Rd",777,"29131"
"Rd",1325,"37193"
"St",227,"02110"
"St",1007,"29165"
"St",877,"29021"
"Rd",668,"01083"
"St",535,"18065"
"St",129,"31143"
"Dr",584,"39123"
"St",229,"27107"
"St",375,"19165"
"Dr",1552,"24013"
"St",363,"19011"
"Rd",412,"21159"
"St",699,"27025"
"Rd",408,"21189"
"Rd",2213,"42015"
"St",394,"54029"
"Dr",581,"29051"
"St",1156,"26021"
"Rd",1128,"42061"
"Rd",249,"31045"
"Rd",485,"51141"
"Rd",567,"26119"
"Rd",544,"26135"
"Rd",439,"35007"
"Dr",2249,"17163"
"St",536,"17189"
"Rd",1757,"42009"
"Rd",582,"05127"
"Rd",397,"20099"
"Rd",805,"42073"
"Rd",657,"39067"
"Ln",643,"37003"
"Ave",1078,"34009"
"Rd",1649,"33005"
"St",158,"27089"
"Rd",199,"51101"
"Rd",188,"08055"
"St",305,"48255"
"Rd",249,"47023"
"Rd",227,"17171"
"St",424,"49027"
"Rd",83,"49029"
"St",713,"48257"
"Rd",203,"04011"
"Dr",24125,"04013"
"Rd",743,"26129"
"Ln",516,"47087"
"St",276,"17159"
"Rd",942,"01009"
"Rd",152,"30051"
"St",199,"48131"
"Rd",177,"29173"
"St",914,"48251"
"Rd",163,"13061"
"Rd",773,"41023"
"Rd",1074,"41011"
"St",106,"48159"
"Rd",1292,"36113"
"Rd",257,"51113"
"Rd",1060,"40005"
"St",385,"17129"
"Rd",511,"13015"
"Dr",1976,"12069"
"Rd",1271,"40111"
"Ave",33,"38083"
"St",261,"18049"
"St",7402,"20091"
"Rd",649,"24009"
"Rd",772,"55129"
"St",662,"53031"
"St",395,"27169"
"Dr",430,"28149"
"St",238,"29003"
"Rd",453,"29139"
"St",611,"20021"
"St",522,"37083"
"Rd",753,"35043"
"Rd",895,"21051"
"Ln",849,"42035"
"St",723,"41043"
"Rd",397,"55065"
"Rd",684,"40147"
"Rd",756,"54077"
"Rd",993,"55135"
"Rd",74,"48137"
"Rd",651,"41037"
"Dr",124,"29153"
"Rd",481,"48473"
"Rd",784,"01099"
"Rd",447,"50009"
"Rd",327,"51111"
"St",80,"38097"
"Dr",1349,"13139"
"Rd",272,"13283"
"Rd",137,"13037"
"Rd",1527,"55125"
"Rd",173,"27007"
"Rd",543,"24019"
"Rd",1008,"42037"
"Dr",593,"39023"
"St",325,"48323"
"Dr",4509,"04019"
"Rd",878,"35006"
"Rd",1865,"34005"
"Rd",1335,"50021"
"Rd",351,"13099"
"Rd",745,"25007"
"Ave",80,"38049"
"St",140,"31179"
"St",83,"38045"
"Rd",66,"16023"
"Rd",1387,"33007"
"St",34,"38043"
"St",200,"48273"
"Dr",940,"18127"
"Rd",512,"28101"
"Ln",1058,"37163"
"Rd",255,"47127"
"Dr",2367,"12103"
"St",162,"17065"
"Ln",250,"05105"
"St",76,"20023"
"Rd",800,"08029"
"St",454,"19185"
"St",102,"48165"
"Rd",758,"01093"
"Rd",1339,"37189"
"Rd",51,"51770"
"St",104,"48317"
"St",938,"48037"
"St",1870,"49057"
"St",380,"29127"
"Rd",1511,"36045"
"St",620,"19097"
"St",69,"38063"
"Rd",1016,"36019"
"Rd",316,"08045"
"St",605,"29177"
"Rd",717,"39073"
"Rd",432,"01085"
"Rd",327,"13043"
"Rd",673,"19113"
"Rd",1020,"06105"
"Dr",1181,"13215"
"Rd",326,"28135"
"Rd",459,"20005"
"St",120,"48003"
"St",540,"39109"
"St",683,"48375"
"Rd",629,"40133"
"Rd",1629,"45003"
"Rd",1404,"06045"
"Ct",1173,"51550"
"St",428,"56037"
"St",58,"48169"
"Rd",580,"54031"
"Ct",556,"55089"
"Dr",1381,"47163"
"Rd",1162,"45059"
"Rd",505,"56011"
"St",568,"55117"
"St",3347,"25013"
"St",355,"48055"
"Rd",373,"20029"
"Rd",661,"06027"
"Rd",270,"01037"
"St",380,"19059"
"Rd",1088,"21095"
"St",237,"20061"
"Rd",2285,"42011"
"Rd",1152,"47019"
"St",601,"27083"
"Ln",518,"51037"
"Rd",1166,"47179"
"Rd",718,"45071"
"Ln",336,"51093"
"Rd",140,"41069"
"Ln",379,"29023"
"St",379,"22047"
"Rd",199,"28125"
"Ln",795,"51061"
"St",160,"51750"
"Ct",446,"32005"
"St",376,"12037"
"St",491,"18055"
"St",285,"18139"
"Dr",922,"55131"
"Dr",445,"29105"
"Rd",1117,"42085"
"Rd",1050,"05031"
"Ave",396,"29195"
"St",438,"17193"
"Rd",733,"17039"
"St",208,"32033"
"St",612,"27049"
"Rd",802,"37173"
"Dr",3632,"12101"
"St",567,"12119"
"Ave",3597,"36059"
"Ave",36,"38091"
"Dr",1040,"18163"
"Dr",1239,"29071"
"Ln",801,"37011"
"St",887,"54107"
"Rd",1495,"55007"
"Rd",447,"47161"
"Rd",536,"55097"
"Ct",1651,"45063"
"Rd",3473,"24003"
"St",651,"55039"
"Rd",326,"54101"
"Rd",258,"55061"
"St",105,"48369"
"Rd",290,"40151"
"Rd",542,"21063"
"Rd",1638,"25003"
"Rd",350,"29041"
"St",80,"08103"
"St",235,"08087"
"Rd",781,"41045"
"St",2273,"34023"
"St",513,"20167"
"St",223,"17155"
"St",175,"46055"
"Rd",351,"47111"
"Rd",550,"05023"
"St",256,"01109"
"Rd",239,"16003"
"St",4286,"25005"
"St",2462,"42107"
"Ave",88,"38103"
"Dr",1066,"37045"
"Rd",665,"05059"
"Ct",1456,"24021"
"Rd",327,"17169"
"Rd",540,"06051"
"Rd",1242,"06109"
"Rd",1445,"35013"
"Rd",309,"13081"
"St",400,"05027"
"St",34,"38039"
"Ct",2319,"06095"
"St",545,"19043"
"St",271,"48449"
"Rd",927,"54027"
"Rd",1124,"37125"
"St",404,"20009"
"St",21,"38087"
"Rd",602,"22083"
"Ave",102,"31071"
"Rd",571,"22099"
"Rd",299,"01119"
"Rd",303,"01133"
"Ct",1760,"12117"
"Rd",631,"28035"
"St",1051,"26065"
"St",1464,"20177"
"St",183,"46061"
"Rd",1201,"27061"
"St",94,"08073"
"Rd",1086,"36053"
"Rd",934,"36115"
"Dr",1005,"18081"
"St",237,"48445"
"Rd",245,"35021"
"Ln",1031,"01121"
"Rd",549,"55067"
"St",80,"48155"
"St",395,"19021"
"St",338,"19129"
"Rd",178,"48385"
"Dr",1419,"39041"
"Dr",2311,"37067"
"Dr",391,"32510"
"St",896,"19049"
"St",136,"48065"
"Rd",351,"13261"
"St",195,"29223"
"Rd",1981,"45007"
"St",474,"56007"
"St",512,"30093"
"Rd",572,"17177"
"Rd",702,"26087"
"Rd",589,"22027"
"Rd",227,"28161"
"Rd",384,"26079"
"Rd",654,"22039"
"Rd",378,"47069"
"Rd",2350,"04003"
"Rd",409,"35023"
"St",27,"38023"
"Rd",11460,"06071"
"St",245,"08083"
"St",142,"28023"
"St",633,"19125"
"St",5569,"31055"
"Dr",109,"51600"
"Rd",210,"40057"
"Rd",1171,"29039"
"Dr",557,"13059"
"Rd",472,"16085"
"St",164,"48275"
"St",173,"05103"
"Rd",548,"39037"
"Rd",617,"40071"
"St",79,"46041"
"Rd",768,"41057"
"Dr",736,"13077"
"Rd",993,"28127"
"Rd",568,"28131"
"Ct",6233,"06013"
"Rd",413,"47017"
"Ct",1558,"51087"
"Rd",590,"18119"
"Rd",3517,"36119"
"St",103,"29017"
"Rd",914,"54047"
"St",959,"54033"
"Rd",471,"37077"
"St",209,"31139"
"Rd",278,"13023"
"Rd",506,"13033"
"Ln",342,"17181"
"Rd",815,"17091"
"St",49,"38051"
"St",533,"31141"
"Rd",547,"37185"
"Rd",256,"13197"
"St",263,"46027"
"Rd",2102,"10005"
"Rd",354,"13159"
"St",353,"29175"
"St",999,"20015"
"Dr",1072,"48209"
"St",192,"48325"
"Rd",744,"26105"
"Dr",1922,"45013"
"St",364,"46135"
"Dr",961,"55105"
"Dr",1287,"45077"
"Rd",241,"53013"
"St",448,"18023"
"St",649,"17027"
"Rd",245,"16067"
"Rd",560,"42113"
"Dr",1267,"28121"
"St",43,"48345"
"St",2523,"41039"
"St",742,"48485"
"St",600,"26155"
"Rd",374,"20089"
"Rd",329,"20123"
"St",596,"12007"
"Ln",416,"28091"
"Rd",678,"28039"
"Rd",519,"17085"
"Dr",530,"18059"
"St",92,"51620"
"Dr",508,"48329"
"Rd",101,"20171"
"Rd",434,"30013"
"St",141,"51660"
"St",1072,"17199"
"Rd",1139,"30029"
"St",110,"20189"
"Dr",1028,"21067"
"Rd",198,"21091"
"St",695,"46013"
"Rd",415,"54001"
"Rd",695,"47181"
"St",130,"31013"
"St",1306,"42097"
"St",665,"48469"
"St",107,"51530"
"St",731,"26147"
"Rd",183,"31173"
"Rd",767,"50015"
"Ln",1008,"51067"
"Rd",793,"40011"
"Rd",758,"53037"
"St",422,"18135"
"Rd",332,"49025"
"Rd",304,"54093"
"Rd",521,"55023"
"St",435,"01071"
"St",602,"19123"
"Rd",1100,"20045"
"Rd",475,"21059"
"Rd",350,"21197"
"St",1191,"29097"
"Rd",379,"41061"
"Dr",1207,"13151"
"St",54,"38001"
"Rd",301,"37137"
"Rd",586,"21083"
"St",1928,"42021"
"Rd",692,"47107"
"Dr",1764,"26093"
"St",2634,"08001"
"St",1851,"42069"
"Rd",788,"40123"
"Ave",983,"40037"
"Rd",219,"48457"
"Rd",320,"47175"
"Rd",1282,"40125"
"Rd",443,"35053"
"Ln",269,"13003"
"Dr",2930,"12031"
"St",315,"48145"
"Rd",656,"05149"
"St",79,"20033"
"Dr",379,"21113"
"Rd",649,"21171"
"Rd",439,"40075"
"Ave",221,"46079"
"Rd",482,"37033"
"St",258,"48377"
"Dr",1364,"39057"
"St",205,"48489"
"St",160,"35028"
"St",1030,"02122"
